record_id,operation_date,depot,shift,operator_id,machine_id,throughput_barrels,temperature_c,maintenance_flag,voltage_count,incident_type
MO-20260216-ELD-D,16/02/2026,Eldoret,Day,OP-E02,ELD-P02,896.7,22.9,0,221,none
MO-20260417-MOM-D,17/04/2026,Mombasa,Day,OP-M02,MBA-P01,1202.7,36.1,0,219,none
MO-20261125-MOM-N,25/11/2026,Mombasa,Night,OP-M04,MBA-P02,984.7,32.4,0,235,none
MO-20260808-KIS-N,08/08/2026,Kisumu,Night,OP-K03,KSM-P03,926.6,23.6,0,222,none
MO-20260512-NAI-N,12/05/2026,Nairobi,Night,OP-N05,NBI-P03,536.2,25.3,1,223,missed_maintenance
MO-20260328-KIS-D,28/03/2026,Kisumu,Day,OP-K01,KSM-P03,1089.7,34.1,0,218,none
MO-20260421-MOM-N,21/04/2026,Mombasa,Night,OP-M04,MBA-P01,572.9,30.6,0,214,operator_blunder
MO-20260815-NAI-N,15/08/2026,Nairobi,Night,OP-N01,NBI-P03,568.1,24.1,1,238,missed_maintenance
MO-20260805-NAI-N,05/08/2026,Nairobi,Night,OP-N05,NBI-P03,558.5,21.2,1,223,missed_maintenance
MO-20260615-MOM-N,15/06/2026,Mombasa,Night,OP-M02,MBA-P03,908.2,25.8,0,220,none
MO-20260426-NAI-D,26/04/2026,Nairobi,Day,OP-N03,NBI-P03,612.5,26.4,1,226,missed_maintenance
MO-20260112-KIS-N,12/01/2026,Kisumu,Night,OP-K01,KSM-P02,880.2,27.2,0,205,none
MO-20260509-MOM-N,09/05/2026,Mombasa,Night,OP-M01,MBA-P03,1076.4,34.5,0,220,none
MO-20260630-NAI-D,30/06/2026,Nairobi,Day,OP-N04,NBI-P02,1070.0,16.8,0,222,none
MO-20260923-NAI-N,23/09/2026,Nairobi,Night,OP-N04,NBI-P01,954.2,18.7,0,224,none
MO-20260711-KIS-N,11/07/2026,Kisumu,Night,OP-K02,KSM-P03,1004.1,25.5,0,222,none
MO-20260930-NAI-D,30/09/2026,Nairobi,Day,OP-N03,NBI-P03,656.4,20.2,1,238,missed_maintenance
MO-20261123-MOM-D,23/11/2026,Mombasa,Day,OP-M03,MBA-P01,953.7,31.9,0,229,none
MO-20260312-ELD-N,12/03/2026,Eldoret,Night,OP-E02,ELD-P02,975.2,21.2,0,220,none
MO-20260814-NAI-N,14/08/2026,Nairobi,Night,OP-N01,NBI-P04,964.3,20.9,0,223,none
MO-20260326-NAI-N,26/03/2026,Nairobi,Night,OP-N02,NBI-P03,597.0,29.6,1,215,missed_maintenance
MO-20260508-MOM-D,08/05/2026,Mombasa,Day,OP-M01,MBA-P02,1023.1,35.0,0,232,none
MO-20260510-ELD-N,10/05/2026,Eldoret,Night,OP-E03,ELD-P02,1104.6,22.8,0,218,none
MO-20260408-NAI-D,08/04/2026,Nairobi,Day,OP-N05,NBI-P03,666.8,26.4,1,207,missed_maintenance
MO-20260129-KIS-N,29/01/2026,Kisumu,Night,OP-K02,KSM-P01,960.1,31.8,0,225,none
MO-20260428-NAI-D,28/04/2026,Nairobi,Day,OP-N01,NBI-P03,596.0,28.7,1,227,missed_maintenance
MO-20260823-KIS-D,23/08/2026,Kisumu,Day,OP-K03,KSM-P03,1016.7,21.2,0,222,none
MO-20260520-ELD-D,20/05/2026,Eldoret,Day,OP-E03,ELD-P02,981.7,21.8,0,224,none
MO-20260812-MOM-N,12/08/2026,Mombasa,Night,OP-M03,MBA-P03,919.6,22.6,0,210,none
MO-20260917-MOM-D,17/09/2026,Mombasa,Day,OP-M04,MBA-P03,1072.0,26.2,0,224,none
MO-20261208-KIS-N,08/12/2026,Kisumu,Night,OP-K01,KSM-P03,745.1,25.6,0,216,none
MO-20260221-KIS-N,21/02/2026,Kisumu,Night,OP-K03,KSM-P02,944.1,30.4,0,215,none
MO-20260306-ELD-N,06/03/2026,Eldoret,Night,OP-E02,ELD-P01,1014.2,24.6,0,225,none
MO-20260729-NAI-D,29/07/2026,Nairobi,Day,OP-N02,NBI-P02,1114.3,22.2,0,226,none
MO-20261103-ELD-N,03/11/2026,Eldoret,Night,OP-E03,ELD-P01,929.9,15.6,0,224,none
MO-20260916-MOM-N,16/09/2026,Mombasa,Night,OP-M02,MBA-P01,899.9,24.1,0,225,none
MO-20260602-MOM-N,02/06/2026,Mombasa,Night,OP-M04,MBA-P03,984.3,30.1,0,220,none
MO-20260403-MOM-D,03/04/2026,Mombasa,Day,OP-M02,MBA-P02,1071.2,35.7,0,214,none
MO-20260310-MOM-N,10/03/2026,Mombasa,Night,OP-M02,MBA-P02,999.5,34.6,0,228,none
MO-20260927-KIS-N,27/09/2026,Kisumu,Night,OP-K03,KSM-P03,845.7,18.4,0,226,none
MO-20260207-KIS-D,07/02/2026,Kisumu,Day,OP-K03,KSM-P01,1011.2,31.0,0,218,none
MO-20260622-NAI-D,22/06/2026,Nairobi,Day,OP-N05,NBI-P02,1061.9,24.6,0,224,none
MO-20260305-KIS-N,05/03/2026,Kisumu,Night,OP-K03,KSM-P03,987.8,32.7,0,218,none
MO-20260218-MOM-D,18/02/2026,Mombasa,Day,OP-M03,MBA-P02,1099.0,35.9,0,220,none
MO-20260313-ELD-N,13/03/2026,Eldoret,Night,OP-E02,ELD-P02,857.1,25.1,0,218,none
MO-20261115-MOM-D,15/11/2026,Mombasa,Day,OP-M04,MBA-P02,962.8,30.0,0,230,none
MO-20260527-NAI-N,27/05/2026,Nairobi,Night,OP-N03,NBI-P03,549.7,26.7,1,228,missed_maintenance
MO-20261015-MOM-N,15/10/2026,Mombasa,Night,OP-M02,MBA-P03,1013.9,27.5,0,212,none
MO-20261025-KIS-D,25/10/2026,Kisumu,Day,OP-K02,KSM-P03,950.8,26.0,0,226,none
MO-20260220-NAI-D,20/02/2026,Nairobi,Day,OP-N02,NBI-P03,638.9,26.7,1,225,missed_maintenance
MO-20260607-ELD-D,07/06/2026,Eldoret,Day,OP-E02,ELD-P03,1090.3,17.6,0,225,none
MO-20260329-MOM-N,29/03/2026,Mombasa,Night,OP-M03,MBA-P02,1113.0,34.1,0,220,none
MO-20260728-NAI-D,28/07/2026,Nairobi,Day,OP-N03,NBI-P03,609.0,20.2,1,226,missed_maintenance
MO-20260824-MOM-N,24/08/2026,Mombasa,Night,OP-M01,MBA-P02,1124.3,23.3,0,220,none
MO-20261113-MOM-D,13/11/2026,Mombasa,Day,OP-M04,MBA-P01,1150.2,29.3,0,216,none
MO-20261231-MOM-N,31/12/2026,Mombasa,Night,OP-M02,MBA-P02,918.3,33.3,0,223,none
MO-20260816-NAI-D,16/08/2026,Nairobi,Day,OP-N03,NBI-P01,690.7,18.6,0,219,operator_blunder
MO-20260916-NAI-N,16/09/2026,Nairobi,Night,OP-N04,NBI-P03,602.9,20.8,1,218,missed_maintenance
MO-20260304-ELD-N,04/03/2026,Eldoret,Night,OP-E02,ELD-P01,905.5,23.3,0,222,none
MO-20260620-ELD-N,20/06/2026,Eldoret,Night,OP-E02,ELD-P01,941.9,16.6,0,222,none
MO-20260731-ELD-N,31/07/2026,Eldoret,Night,OP-E02,ELD-P01,1008.7,13.3,0,219,none
MO-20260831-NAI-D,31/08/2026,Nairobi,Day,OP-N01,NBI-P03,591.8,20.1,1,224,missed_maintenance
MO-20260905-ELD-N,05/09/2026,Eldoret,Night,OP-E03,ELD-P01,892.3,15.6,0,230,none
MO-20260804-KIS-D,04/08/2026,Kisumu,Day,OP-K03,KSM-P03,974.7,22.7,0,228,none
MO-20260115-NAI-D,15/01/2026,Nairobi,Day,OP-N03,NBI-P02,1078.2,29.8,0,233,none
MO-20261011-NAI-D,11/10/2026,Nairobi,Day,OP-N03,NBI-P03,647.2,14.9,1,218,missed_maintenance
MO-20260802-ELD-N,02/08/2026,Eldoret,Night,OP-E02,ELD-P01,963.8,16.3,0,220,none
MO-20260103-MOM-N,03/01/2026,Mombasa,Night,OP-M02,MBA-P02,1026.5,32.3,0,213,none
MO-20260505-MOM-N,05/05/2026,Mombasa,Night,OP-M01,MBA-P02,1007.1,31.6,0,220,none
MO-20260714-ELD-N,14/07/2026,Eldoret,Night,OP-E01,ELD-P01,915.2,16.3,0,227,none
MO-20260913-ELD-D,13/09/2026,Eldoret,Day,OP-E01,ELD-P03,849.9,13.0,0,223,none
MO-20260618-KIS-N,18/06/2026,Kisumu,Night,OP-K03,KSM-P01,994.2,23.2,0,221,none
MO-20260208-KIS-N,08/02/2026,Kisumu,Night,OP-K02,KSM-P03,950.9,32.2,0,221,none
MO-20260617-NAI-D,17/06/2026,Nairobi,Day,OP-N01,NBI-P03,629.5,25.4,1,213,missed_maintenance
MO-20260127-ELD-N,27/01/2026,Eldoret,Night,OP-E01,ELD-P02,793.5,24.3,0,228,none
MO-20260713-KIS-N,13/07/2026,Kisumu,Night,OP-K03,KSM-P03,904.8,24.9,0,220,none
MO-20261206-NAI-N,06/12/2026,Nairobi,Night,OP-N05,NBI-P02,644.3,24.0,0,223,operator_blunder
MO-20260707-ELD-D,07/07/2026,Eldoret,Day,OP-E02,ELD-P03,1021.9,17.1,0,226,none
MO-20260728-KIS-N,28/07/2026,Kisumu,Night,OP-K01,KSM-P03,928.7,23.5,0,218,none
MO-20260220-NAI-N,20/02/2026,Nairobi,Night,OP-N04,NBI-P03,503.6,29.6,1,222,missed_maintenance
MO-20260226-KIS-D,26/02/2026,Kisumu,Day,OP-K02,KSM-P03,1020.5,32.5,0,217,none
MO-20260904-KIS-D,04/09/2026,Kisumu,Day,OP-K03,KSM-P01,1089.2,23.1,0,212,none
MO-20260325-NAI-D,25/03/2026,Nairobi,Day,OP-N02,NBI-P03,608.5,30.0,1,230,missed_maintenance
MO-20260828-KIS-N,28/08/2026,Kisumu,Night,OP-K02,KSM-P03,1075.7,22.7,0,215,none
MO-20261220-NAI-D,20/12/2026,Nairobi,Day,OP-N03,NBI-P02,1018.7,22.4,0,222,none
MO-20260803-ELD-N,03/08/2026,Eldoret,Night,OP-E03,ELD-P01,968.3,15.3,0,206,none
MO-20261126-NAI-D,26/11/2026,Nairobi,Day,OP-N01,NBI-P03,617.2,21.4,1,216,missed_maintenance
MO-20260819-NAI-D,19/08/2026,Nairobi,Day,OP-N03,NBI-P03,647.9,18.0,1,214,missed_maintenance
MO-20260927-ELD-N,27/09/2026,Eldoret,Night,OP-E02,ELD-P03,915.7,15.8,0,217,none
MO-20261014-NAI-N,14/10/2026,Nairobi,Night,OP-N03,NBI-P03,302.8,20.3,1,217,brief_equipment_fault
MO-20260520-NAI-D,20/05/2026,Nairobi,Day,OP-N02,NBI-P03,645.6,27.9,1,223,missed_maintenance
MO-20260805-ELD-N,05/08/2026,Eldoret,Night,OP-E03,ELD-P03,919.7,18.7,0,212,none
MO-20260811-MOM-N,11/08/2026,Mombasa,Night,OP-M02,MBA-P03,1015.8,25.4,0,210,none
MO-20260812-KIS-D,12/08/2026,Kisumu,Day,OP-K03,KSM-P03,988.2,23.7,0,218,none
MO-20260904-NAI-D,04/09/2026,Nairobi,Day,OP-N02,NBI-P03,596.0,18.2,1,223,missed_maintenance
MO-20260121-MOM-D,21/01/2026,Mombasa,Day,OP-M01,MBA-P03,1103.2,34.8,0,234,none
MO-20260513-NAI-D,13/05/2026,Nairobi,Day,OP-N01,NBI-P03,585.1,24.2,1,223,missed_maintenance
MO-20261120-NAI-D,20/11/2026,Nairobi,Day,OP-N01,NBI-P03,560.8,21.7,1,223,missed_maintenance
MO-20260611-NAI-D,11/06/2026,Nairobi,Day,OP-N05,NBI-P03,726.2,23.7,1,221,missed_maintenance
MO-20260919-ELD-D,19/09/2026,Eldoret,Day,OP-E02,ELD-P03,1000.0,12.0,0,225,none
MO-20261226-MOM-N,26/12/2026,Mombasa,Night,OP-M02,MBA-P01,915.9,31.3,0,215,none
MO-20261108-NAI-D,08/11/2026,Nairobi,Day,OP-N01,NBI-P03,580.7,19.1,1,230,missed_maintenance
MO-20260326-MOM-D,26/03/2026,Mombasa,Day,OP-M03,MBA-P01,1140.2,35.2,0,224,none
MO-20260107-MOM-D,07/01/2026,Mombasa,Day,OP-M01,MBA-P03,1046.5,29.9,0,223,none
MO-20260412-MOM-N,12/04/2026,Mombasa,Night,OP-M02,MBA-P02,1105.2,32.9,0,211,none
MO-20260316-ELD-D,16/03/2026,Eldoret,Day,OP-E02,ELD-P02,1063.9,23.4,0,223,none
MO-20260226-MOM-N,26/02/2026,Mombasa,Night,OP-M03,MBA-P01,890.9,34.3,0,220,none
MO-20261127-ELD-N,27/11/2026,Eldoret,Night,OP-E01,ELD-P03,898.4,14.7,0,214,none
MO-20261229-KIS-D,29/12/2026,Kisumu,Day,OP-K02,KSM-P02,1022.4,28.6,0,229,none
MO-20260829-ELD-N,29/08/2026,Eldoret,Night,OP-E01,ELD-P03,971.5,15.1,0,213,none
MO-20260822-ELD-D,22/08/2026,Eldoret,Day,OP-E01,ELD-P01,1005.3,18.3,0,221,none
MO-20260612-KIS-N,12/06/2026,Kisumu,Night,OP-K01,KSM-P02,897.0,24.1,0,221,none
MO-20260716-MOM-N,16/07/2026,Mombasa,Night,OP-M04,MBA-P03,940.8,26.1,0,205,none
MO-20261002-MOM-N,02/10/2026,Mombasa,Night,OP-M03,MBA-P03,1018.2,28.5,0,218,none
MO-20260729-KIS-D,29/07/2026,Kisumu,Day,OP-K03,KSM-P01,1041.8,25.1,0,219,none
MO-20260726-NAI-N,26/07/2026,Nairobi,Night,OP-N05,NBI-P03,575.7,21.9,1,210,missed_maintenance
MO-20260922-NAI-D,22/09/2026,Nairobi,Day,OP-N01,NBI-P03,599.1,19.7,1,218,missed_maintenance
MO-20260901-MOM-D,01/09/2026,Mombasa,Day,OP-M01,MBA-P01,965.5,24.3,0,222,none
MO-20260821-ELD-N,21/08/2026,Eldoret,Night,OP-E03,ELD-P02,510.1,16.4,0,213,operator_blunder
MO-20261021-ELD-D,21/10/2026,Eldoret,Day,OP-E03,ELD-P01,1011.8,15.5,0,216,none
MO-20260904-MOM-N,04/09/2026,Mombasa,Night,OP-M01,MBA-P01,872.5,23.6,0,224,none
MO-20260420-KIS-N,20/04/2026,Kisumu,Night,OP-K02,KSM-P02,1012.7,31.4,0,223,none
MO-20260703-KIS-N,03/07/2026,Kisumu,Night,OP-K03,KSM-P01,997.2,26.3,0,220,none
MO-20261028-ELD-D,28/10/2026,Eldoret,Day,OP-E01,ELD-P02,941.6,12.7,0,228,none
MO-20261206-MOM-D,06/12/2026,Mombasa,Day,OP-M01,MBA-P01,1041.4,29.8,0,222,none
MO-20260527-ELD-D,27/05/2026,Eldoret,Day,OP-E01,ELD-P02,951.2,20.0,0,216,none
MO-20260415-KIS-N,15/04/2026,Kisumu,Night,OP-K02,KSM-P02,979.3,30.8,0,213,none
MO-20261207-ELD-D,07/12/2026,Eldoret,Day,OP-E01,ELD-P01,965.2,19.3,0,226,none
MO-20260406-KIS-D,06/04/2026,Kisumu,Day,OP-K01,KSM-P01,993.6,31.8,0,223,none
MO-20260204-KIS-N,04/02/2026,Kisumu,Night,OP-K02,KSM-P02,1009.9,30.6,0,214,none
MO-20261023-KIS-N,23/10/2026,Kisumu,Night,OP-K02,KSM-P03,855.8,23.9,0,233,none
MO-20261227-ELD-N,27/12/2026,Eldoret,Night,OP-E02,ELD-P01,854.9,20.6,0,215,none
MO-20260308-KIS-N,08/03/2026,Kisumu,Night,OP-K01,KSM-P02,902.0,30.3,0,216,none
MO-20261208-NAI-N,08/12/2026,Nairobi,Night,OP-N05,NBI-P03,562.2,21.0,1,228,missed_maintenance
MO-20260702-ELD-D,02/07/2026,Eldoret,Day,OP-E03,ELD-P02,925.0,16.3,0,226,none
MO-20260502-KIS-N,02/05/2026,Kisumu,Night,OP-K02,KSM-P02,988.6,28.1,0,213,none
MO-20260204-NAI-N,04/02/2026,Nairobi,Night,OP-N01,NBI-P03,787.2,26.7,1,232,missed_maintenance
MO-20260415-MOM-D,15/04/2026,Mombasa,Day,OP-M04,MBA-P02,1002.4,33.8,0,231,none
MO-20261009-NAI-D,09/10/2026,Nairobi,Day,OP-N05,NBI-P03,712.5,19.3,1,230,missed_maintenance
MO-20260905-NAI-N,05/09/2026,Nairobi,Night,OP-N01,NBI-P03,537.3,20.4,1,223,missed_maintenance
MO-20260331-ELD-N,31/03/2026,Eldoret,Night,OP-E02,ELD-P01,993.0,23.0,0,221,none
MO-20260829-NAI-N,29/08/2026,Nairobi,Night,OP-N03,NBI-P03,597.0,18.8,1,223,missed_maintenance
MO-20260315-ELD-D,15/03/2026,Eldoret,Day,OP-E01,ELD-P01,986.4,21.3,0,218,none
MO-20260802-MOM-D,02/08/2026,Mombasa,Day,OP-M04,MBA-P03,956.8,27.7,0,221,none
MO-20260330-KIS-N,30/03/2026,Kisumu,Night,OP-K02,KSM-P03,1032.6,31.2,0,219,none
MO-20260607-KIS-D,07/06/2026,Kisumu,Day,OP-K01,KSM-P02,1046.2,25.1,0,229,none
MO-20260703-KIS-D,03/07/2026,Kisumu,Day,OP-K02,KSM-P02,1011.1,24.2,0,223,none
MO-20261215-ELD-D,15/12/2026,Eldoret,Day,OP-E03,ELD-P02,906.5,20.0,0,230,none
MO-20260125-KIS-N,25/01/2026,Kisumu,Night,OP-K03,KSM-P02,953.0,31.2,0,213,none
MO-20260209-MOM-D,09/02/2026,Mombasa,Day,OP-M01,MBA-P01,1056.3,35.0,0,224,none
MO-20260218-MOM-N,18/02/2026,Mombasa,Night,OP-M01,MBA-P02,1077.8,33.9,0,224,none
MO-20261026-ELD-D,26/10/2026,Eldoret,Day,OP-E03,ELD-P03,960.8,17.1,0,229,none
MO-20260929-ELD-D,29/09/2026,Eldoret,Day,OP-E02,ELD-P03,927.2,12.6,0,233,none
MO-20261112-NAI-D,12/11/2026,Nairobi,Day,OP-N01,NBI-P03,661.3,21.0,1,223,missed_maintenance
MO-20260609-NAI-N,09/06/2026,Nairobi,Night,OP-N04,NBI-P03,580.1,23.1,1,207,missed_maintenance
MO-20260129-MOM-N,29/01/2026,Mombasa,Night,OP-M03,MBA-P02,996.9,36.5,0,220,none
MO-20261102-NAI-D,02/11/2026,Nairobi,Day,OP-N01,NBI-P03,605.0,22.9,1,231,missed_maintenance
MO-20261031-KIS-N,31/10/2026,Kisumu,Night,OP-K01,KSM-P02,980.7,25.2,0,218,none
MO-20260530-ELD-D,30/05/2026,Eldoret,Day,OP-E01,ELD-P01,923.0,21.4,0,217,none
MO-20260331-MOM-D,31/03/2026,Mombasa,Day,OP-M02,MBA-P01,1060.7,31.8,0,218,none
MO-20260731-MOM-N,31/07/2026,Mombasa,Night,OP-M03,MBA-P02,1023.7,26.8,0,222,none
MO-20260110-NAI-D,10/01/2026,Nairobi,Day,OP-N04,NBI-P03,1047.6,27.5,0,220,none
MO-20260107-ELD-N,07/01/2026,Eldoret,Night,OP-E01,ELD-P02,855.0,16.9,0,220,none
MO-20261126-NAI-N,26/11/2026,Nairobi,Night,OP-N05,NBI-P03,631.7,22.9,1,212,missed_maintenance
MO-20260722-NAI-D,22/07/2026,Nairobi,Day,OP-N05,NBI-P01,1040.1,18.9,0,223,none
MO-20260612-ELD-D,12/06/2026,Eldoret,Day,OP-E02,ELD-P02,977.5,14.6,0,223,none
MO-20260731-KIS-N,31/07/2026,Kisumu,Night,OP-K02,KSM-P01,604.0,24.7,0,216,operator_blunder
MO-20260625-MOM-N,25/06/2026,Mombasa,Night,OP-M02,MBA-P02,950.7,29.5,0,220,none
MO-20260827-MOM-D,27/08/2026,Mombasa,Day,OP-M03,MBA-P03,997.0,24.2,0,222,none
MO-20261102-MOM-D,02/11/2026,Mombasa,Day,OP-M02,MBA-P03,1026.8,31.1,0,229,none
MO-20261215-KIS-D,15/12/2026,Kisumu,Day,OP-K03,KSM-P02,959.6,27.7,0,227,none
MO-20260807-NAI-D,07/08/2026,Nairobi,Day,OP-N03,NBI-P03,614.2,20.5,1,225,missed_maintenance
MO-20260717-NAI-D,17/07/2026,Nairobi,Day,OP-N01,NBI-P03,641.2,18.7,1,219,missed_maintenance
MO-20261016-MOM-N,16/10/2026,Mombasa,Night,OP-M01,MBA-P01,994.0,27.6,0,220,none
MO-20261013-KIS-N,13/10/2026,Kisumu,Night,OP-K03,KSM-P02,928.3,22.1,0,230,none
MO-20260111-KIS-D,11/01/2026,Kisumu,Day,OP-K03,KSM-P02,974.7,30.8,0,216,none
MO-20260415-MOM-N,15/04/2026,Mombasa,Night,OP-M02,MBA-P02,1029.6,36.6,0,218,none
MO-20260216-KIS-N,16/02/2026,Kisumu,Night,OP-K03,KSM-P03,1038.4,28.2,0,216,none
MO-20261020-MOM-D,20/10/2026,Mombasa,Day,OP-M03,MBA-P02,1036.6,25.6,0,231,none
MO-20260716-NAI-D,16/07/2026,Nairobi,Day,OP-N03,NBI-P03,578.3,22.5,1,222,missed_maintenance
MO-20261018-NAI-D,18/10/2026,Nairobi,Day,OP-N05,NBI-P03,681.0,17.7,1,227,missed_maintenance
MO-20260903-MOM-D,03/09/2026,Mombasa,Day,OP-M04,MBA-P01,963.7,25.3,0,225,none
MO-20260801-NAI-N,01/08/2026,Nairobi,Night,OP-N01,NBI-P03,646.8,19.9,1,217,missed_maintenance
MO-20260303-KIS-N,03/03/2026,Kisumu,Night,OP-K02,KSM-P01,879.9,35.6,0,226,none
MO-20260919-NAI-N,19/09/2026,Nairobi,Night,OP-N02,NBI-P03,703.9,17.4,1,206,missed_maintenance
MO-20261001-NAI-D,01/10/2026,Nairobi,Day,OP-N04,NBI-P03,573.6,20.9,1,215,missed_maintenance
MO-20260510-KIS-D,10/05/2026,Kisumu,Day,OP-K01,KSM-P01,1093.4,30.5,0,221,none
