date,pipeline_id,avg_pressure_psi,max_pressure_psi,flow_rate_gpm
2026-07-01,PL-001,158.86,177.92,1039.17
2026-06-25,PL-001,125.72,140.81,622.89
2026-06-27,PL-001,126.64,141.84,1130.42
2026-06-30,PL-001,263.26,294.85,1173.26
2026-07-01,PL-001,229.91,257.5,852.61
2026-06-27,PL-001,205.14,229.76,1291.63
2026-06-26,PL-001,235.67,263.95,645.47
2026-07-01,PL-001,225.91,253.02,668.62
2026-06-28,PL-001,232.45,260.34,692.65
2026-06-30,PL-001,254.8,285.38,631.41
2026-06-25,PL-001,243.31,272.51,1351.65
2026-06-26,PL-001,136.28,152.63,1304.81
2026-06-25,PL-001,188.4,211.01,1325.45
2026-06-27,PL-001,121.34,135.9,750.45
2026-06-26,PL-001,236.27,264.62,1198.97
2026-06-27,PL-001,174.54,195.48,1305.23
2026-06-25,PL-001,267.8,299.94,784.79
2026-06-28,PL-001,121.85,136.47,1399.59
2026-06-30,PL-001,120.47,134.93,1367.72
2026-06-30,PL-001,173.68,194.52,776.08
2026-06-26,PL-001,156.85,175.67,910.26
2026-06-30,PL-001,155.92,174.63,1168.23
2026-06-27,PL-001,178.89,200.36,1012.89
2026-06-30,PL-001,223.22,250.01,637.02
2026-06-28,PL-001,240.48,269.34,710.99
2026-06-25,PL-001,187.61,210.12,691.73
2026-06-27,PL-001,128.42,143.83,614.41
2026-06-29,PL-001,234.15,262.25,1096.93
2026-06-28,PL-001,258.06,289.03,978.2
2026-06-27,PL-001,209.11,234.2,1139.68
2026-06-25,PL-001,238.23,266.82,989.06
2026-06-29,PL-001,143.06,160.23,1094.65
2026-06-29,PL-001,216.6,242.59,1123.39
2026-06-27,PL-001,152.13,170.39,1079.28
2026-06-25,PL-001,273.25,306.04,1247.3
2026-07-01,PL-001,208.26,233.25,708.5
2026-06-29,PL-001,195.26,218.69,786.32
2026-07-01,PL-001,141.34,158.3,868.62
2026-06-30,PL-001,274.21,307.12,1093.64
2026-07-01,PL-001,179.21,200.72,895.9
2026-06-29,PL-001,222.84,249.58,939.08
2026-06-28,PL-001,170.7,191.18,1097.56
2026-06-29,PL-001,162.19,181.65,667.76
2026-06-26,PL-001,219.1,245.39,713.09
2026-06-30,PL-001,120.57,135.04,753.65
2026-07-01,PL-001,246.87,276.49,822.54
2026-06-30,PL-001,221.41,247.98,1015.04
2026-06-25,PL-001,236.8,265.22,1058.39
2026-06-26,PL-001,173.83,194.69,798.09
2026-06-25,PL-001,253.28,283.67,860.52
2026-06-25,PL-001,247.33,277.01,873.58
2026-06-25,PL-001,202.35,226.63,624.12
2026-06-25,PL-001,132.95,148.9,1192.04
2026-06-25,PL-001,159.05,178.14,854.42
2026-07-01,PL-001,255.55,286.22,919.61
2026-06-27,PL-001,174.64,195.6,911.41
2026-06-28,PL-001,170.0,190.4,1355.25
2026-06-27,PL-001,148.52,166.34,1049.16
2026-06-25,PL-001,151.32,169.48,1155.22
2026-06-25,PL-001,149.48,167.42,1323.98
2026-06-26,PL-001,276.55,309.74,859.1
2026-07-01,PL-001,235.83,264.13,993.71
2026-06-26,PL-001,161.12,180.45,795.45
2026-06-25,PL-001,207.88,232.83,953.06
2026-06-25,PL-001,181.27,203.02,1294.23
2026-06-28,PL-001,221.33,247.89,1259.69
2026-06-30,PL-001,158.51,177.53,804.56
2026-06-26,PL-001,128.92,144.39,1080.57
2026-06-27,PL-001,171.95,192.58,828.6
2026-06-25,PL-001,203.1,227.47,840.84
2026-06-29,PL-001,213.6,239.23,978.22
2026-06-25,PL-001,269.43,301.76,702.08
2026-06-30,PL-001,142.25,159.32,670.29
2026-06-29,PL-001,193.76,217.01,836.41
2026-06-27,PL-001,277.83,311.17,1265.63
2026-06-27,PL-001,154.28,172.79,639.58
2026-06-27,PL-001,142.12,159.17,1218.8
2026-07-01,PL-001,159.34,178.46,1352.18
2026-06-28,PL-001,132.76,148.69,1393.04
2026-06-25,PL-001,128.86,144.32,947.99
2026-06-26,PL-001,248.41,278.22,1132.56
2026-06-26,PL-001,177.88,199.23,996.36
2026-06-29,PL-001,193.75,217.0,930.7
2026-06-30,PL-001,172.06,192.71,1161.56
2026-07-01,PL-001,213.4,239.01,1371.13
2026-06-25,PL-001,275.01,308.01,1173.37
2026-06-25,PL-001,212.74,238.27,802.26
2026-06-29,PL-001,176.46,197.64,976.69
2026-06-25,PL-001,163.97,183.65,1245.87
2026-06-30,PL-001,259.15,290.25,730.91
2026-07-01,PL-001,236.26,264.61,891.98
2026-06-26,PL-001,220.19,246.61,1086.94
2026-06-26,PL-001,187.05,209.5,797.72
2026-06-27,PL-001,246.95,276.58,1088.93
2026-06-25,PL-001,149.27,167.18,1309.59
2026-06-28,PL-001,272.47,305.17,1286.76
2026-06-26,PL-001,146.18,163.72,1161.85
2026-06-26,PL-001,145.7,163.18,1014.51
2026-06-29,PL-001,141.28,158.23,723.9
2026-06-26,PL-001,130.22,145.85,761.66
2026-06-26,PL-001,173.65,194.49,762.42
2026-07-01,PL-001,126.13,141.27,927.2
2026-06-28,PL-001,161.04,180.36,1269.77
2026-06-29,PL-001,216.03,241.95,1266.13
2026-06-25,PL-001,224.51,251.45,629.43
2026-06-30,PL-001,143.58,160.81,959.95
2026-06-29,PL-001,215.23,241.06,1250.92
2026-06-30,PL-001,274.88,307.87,825.43
2026-06-25,PL-001,189.07,211.76,1290.06
2026-06-27,PL-001,202.16,226.42,620.74
2026-06-25,PL-001,138.94,155.61,1103.25
2026-06-29,PL-001,249.49,279.43,918.79
2026-06-30,PL-001,247.21,276.88,1220.44
2026-07-01,PL-001,263.86,295.52,872.36
2026-06-25,PL-001,265.89,297.8,989.29
2026-06-25,PL-001,172.27,192.94,1391.64
2026-06-26,PL-001,278.9,312.37,1310.66
2026-06-28,PL-001,253.6,284.03,605.12
2026-06-29,PL-001,233.94,262.01,747.83
2026-06-26,PL-001,208.66,233.7,760.18
2026-06-29,PL-001,173.38,194.19,1134.31
2026-06-26,PL-001,186.52,208.9,879.3
2026-06-29,PL-001,165.45,185.3,629.48
2026-06-28,PL-001,266.31,298.27,770.35
2026-06-25,PL-001,209.66,234.82,918.76
2026-06-28,PL-001,191.35,214.31,801.32
2026-07-01,PL-001,137.31,153.79,782.31
2026-06-30,PL-001,128.55,143.98,1223.66
2026-06-25,PL-001,189.15,211.85,793.45
2026-06-27,PL-001,178.17,199.55,689.21
2026-06-26,PL-001,265.86,297.76,685.2
2026-06-28,PL-001,168.6,188.83,1336.15
2026-06-30,PL-001,254.72,285.29,1264.92
2026-06-29,PL-001,141.56,158.55,612.37
2026-06-26,PL-001,159.61,178.76,0.0
2026-06-25,PL-001,175.78,196.87,1177.09
2026-06-28,PL-001,165.58,185.45,694.74
2026-06-25,PL-001,223.65,250.49,745.4
2026-06-26,PL-001,245.0,274.4,855.31
2026-06-27,PL-001,145.3,162.74,993.07
2026-06-26,PL-001,232.94,260.89,984.32
2026-06-25,PL-001,134.76,150.93,1345.81
2026-06-27,PL-001,216.62,242.61,948.76
2026-07-01,PL-001,180.67,202.35,1254.42
2026-07-01,PL-001,125.46,140.52,1357.32
2026-06-25,PL-001,174.04,194.92,925.55
2026-06-27,PL-001,128.91,144.38,625.96
2026-06-26,PL-001,177.3,198.58,1009.33
2026-07-01,PL-001,165.05,184.86,1072.61
2026-06-28,PL-001,217.31,243.39,1134.97
2026-06-26,PL-001,224.4,251.33,1271.58
2026-06-27,PL-001,189.55,212.3,1146.67
2026-06-30,PL-001,133.99,150.07,1136.13
2026-07-01,PL-001,261.83,293.25,0.0
2026-06-30,PL-001,155.64,174.32,792.6
2026-06-30,PL-001,262.82,294.36,1088.65
2026-06-29,PL-001,267.74,299.87,756.54
2026-06-29,PL-001,228.46,255.88,1009.38
2026-06-28,PL-001,231.93,259.76,1230.89
2026-06-29,PL-001,224.83,251.81,972.25
2026-06-26,PL-001,146.04,163.56,1194.07
2026-06-30,PL-001,129.64,145.2,865.79
2026-06-29,PL-001,130.55,146.22,683.94
2026-06-28,PL-001,122.93,137.68,1385.45
2026-06-30,PL-001,159.95,179.14,796.6
2026-06-25,PL-001,254.69,285.25,677.17
2026-06-29,PL-001,120.16,134.58,659.66
2026-07-01,PL-001,120.22,134.65,974.56
2026-07-01,PL-001,162.15,181.61,1151.96
2026-06-28,PL-001,221.28,247.83,762.84
2026-06-25,PL-001,217.23,243.3,1099.82
2026-06-30,PL-001,175.96,197.08,1174.25
2026-06-28,PL-001,203.2,227.58,1223.71
2026-06-28,PL-001,264.04,295.72,1386.3
2026-06-26,PL-001,178.72,200.17,733.56
2026-06-27,PL-001,219.78,246.15,1267.66
2026-06-27,PL-001,249.89,279.88,1125.4
2026-06-28,PL-001,228.06,255.43,939.69
2026-06-27,PL-001,176.37,197.53,796.01
2026-06-26,PL-001,224.87,251.85,1038.23
2026-06-27,PL-001,138.16,154.74,834.49
2026-06-28,PL-001,219.94,246.33,1235.2
2026-06-28,PL-001,154.86,173.44,1009.47
2026-06-30,PL-001,149.94,167.93,669.61
2026-06-28,PL-001,153.81,172.27,1082.11
2026-07-01,PL-001,124.53,139.47,937.6
2026-06-26,PL-001,138.15,154.73,851.22
2026-06-26,PL-001,242.87,272.01,765.13
2026-06-25,PL-001,245.43,274.88,710.99
2026-06-29,PL-001,176.5,197.68,847.54
2026-06-30,PL-001,279.61,313.16,758.87
2026-06-28,PL-001,222.4,249.09,856.4
2026-06-25,PL-001,269.22,301.53,1023.81
2026-06-29,PL-001,9999.0,11198.88,1348.87
2026-06-26,PL-001,247.5,277.2,671.86
2026-06-26,PL-001,144.5,161.84,1172.66
2026-06-30,PL-001,176.46,197.64,884.94
2026-06-30,PL-001,223.7,250.54,1170.71
2026-06-27,PL-001,124.72,139.69,1239.12
2026-06-26,PL-001,170.03,190.43,836.38
2026-06-29,PL-001,143.51,160.73,601.46
2026-07-01,PL-001,263.03,294.59,1363.22
2026-07-01,PL-001,201.71,225.92,1172.24
2026-06-30,PL-001,240.81,269.71,908.39
2026-06-25,PL-001,237.67,266.19,1075.9
2026-06-25,PL-001,183.94,206.01,1180.11
2026-06-27,PL-001,160.09,179.3,0.0
2026-07-01,PL-001,228.8,256.26,669.68
2026-06-28,PL-001,214.0,239.68,851.6
2026-06-29,PL-001,136.64,153.04,1128.44
2026-06-25,PL-001,155.88,174.59,616.8
2026-06-27,PL-001,167.09,187.14,939.75
2026-06-30,PL-001,188.92,211.59,699.87
2026-06-27,PL-001,204.24,228.75,920.93
2026-07-01,PL-001,131.21,146.96,1206.95
2026-07-01,PL-001,210.73,236.02,1273.8
2026-07-01,PL-001,226.09,253.22,1004.88
2026-06-28,PL-001,228.34,255.74,1058.11
2026-06-26,PL-001,177.25,198.52,847.31
2026-06-25,PL-001,120.87,135.37,1197.75
2026-07-01,PL-001,246.44,276.01,1320.27
2026-07-01,PL-001,271.44,304.01,738.52
2026-06-29,PL-001,182.79,204.72,1017.41
2026-06-25,PL-001,220.87,247.37,981.74
2026-06-29,PL-001,185.8,208.1,868.55
2026-06-29,PL-001,123.2,137.98,882.55
2026-06-27,PL-001,143.51,160.73,664.65
2026-06-27,PL-001,137.1,153.55,674.2
2026-06-30,PL-001,262.52,294.02,1285.01
2026-06-26,PL-001,152.99,171.35,843.79
2026-06-26,PL-001,128.44,143.85,761.52
2026-07-01,PL-001,256.03,286.75,784.4
2026-06-26,PL-001,179.14,200.64,1055.96
2026-06-30,PL-001,143.58,160.81,607.89
2026-06-27,PL-001,130.08,145.69,1039.48
2026-06-29,PL-001,228.01,255.37,716.06
2026-06-29,PL-001,206.74,231.55,1066.88
2026-06-26,PL-001,255.25,285.88,1212.08
2026-07-01,PL-001,163.91,183.58,1174.71
2026-06-27,PL-001,222.62,249.33,1317.5
2026-07-01,PL-001,228.46,255.88,757.49
2026-06-26,PL-001,123.56,138.39,1374.13
2026-06-28,PL-001,251.6,281.79,773.45
2026-06-27,PL-001,216.22,242.17,1173.24
2026-06-27,PL-001,180.34,201.98,820.47
2026-06-25,PL-001,259.4,290.53,644.12
2026-07-01,PL-001,250.49,280.55,889.88
2026-06-28,PL-001,220.0,246.4,1382.88
2026-06-30,PL-001,144.71,162.08,1326.12
2026-06-28,PL-001,157.37,176.25,1337.4
2026-06-25,PL-001,191.02,213.94,709.93
2026-06-26,PL-001,135.29,151.52,1207.24
2026-06-27,PL-001,140.01,156.81,810.53
2026-06-26,PL-001,215.47,241.33,1049.0
2026-06-25,PL-001,124.19,139.09,662.2
2026-07-01,PL-001,231.33,259.09,1342.76
2026-07-01,PL-001,274.78,307.75,745.05
2026-06-26,PL-001,256.12,286.85,1119.28
2026-06-25,PL-001,155.8,174.5,958.62
2026-06-26,PL-001,220.4,246.85,1142.88
2026-06-29,PL-001,152.84,171.18,1214.93
2026-06-30,PL-001,267.63,299.75,1137.71
2026-06-30,PL-001,186.85,209.27,1395.21
2026-06-26,PL-001,187.77,210.3,1136.3
2026-07-01,PL-001,266.49,298.47,1016.6
2026-06-30,PL-001,158.34,177.34,941.8
2026-06-27,PL-001,241.19,270.13,1298.95
2026-06-30,PL-001,123.73,138.58,1385.8
2026-06-30,PL-001,202.25,226.52,1157.2
2026-06-26,PL-001,210.74,236.03,1230.43
2026-06-29,PL-001,227.09,254.34,1235.98
2026-06-26,PL-001,145.38,162.83,1278.86
2026-06-28,PL-001,212.72,238.25,1027.05
2026-07-01,PL-001,193.89,217.16,641.18
2026-06-27,PL-001,279.55,313.1,1384.49
2026-07-01,PL-001,202.97,227.33,877.16
2026-07-01,PL-001,262.46,293.96,1092.38
2026-06-28,PL-001,157.37,176.25,1337.4
2026-06-28,PL-001,242.95,272.1,941.61
2026-06-25,PL-001,157.44,176.33,844.01
2026-06-30,PL-001,207.34,232.22,990.21
2026-06-26,PL-001,264.96,296.76,1215.63
2026-06-27,PL-001,133.9,149.97,810.03
2026-07-01,PL-001,215.95,241.86,1010.67
2026-06-28,PL-001,178.74,200.19,950.68
2026-06-27,PL-001,208.8,233.86,1381.96
2026-06-29,PL-001,174.95,195.94,644.89
2026-06-28,PL-001,142.71,159.84,947.44
2026-06-26,PL-001,140.8,157.7,943.91
2026-06-26,PL-001,264.24,295.95,740.75
2026-07-01,PL-001,212.47,237.97,1110.24
2026-07-01,PL-001,254.0,284.48,996.95
2026-07-01,PL-001,187.54,210.04,1106.49
2026-06-30,PL-001,130.42,146.07,933.43
2026-06-28,PL-001,254.87,285.45,937.21
2026-06-28,PL-001,254.19,284.69,1060.21
2026-06-25,PL-001,228.84,256.3,1287.21
2026-06-27,PL-001,216.67,242.67,730.38
2026-06-25,PL-001,142.74,159.87,1304.53
2026-07-01,PL-001,191.05,213.98,1012.79
2026-06-29,PL-001,191.89,214.92,783.05
2026-06-30,PL-001,255.25,285.88,840.25
2026-06-29,PL-001,127.45,142.74,1392.37
2026-06-29,PL-001,137.03,153.47,1276.29
2026-06-30,PL-001,274.07,306.96,1077.1
2026-06-29,PL-001,217.39,243.48,768.87
2026-07-01,PL-001,154.52,173.06,824.45
2026-06-25,PL-001,220.87,247.37,1375.15
2026-06-30,PL-001,237.51,266.01,716.01
2026-06-27,PL-001,162.09,181.54,806.88
2026-06-25,PL-001,259.98,291.18,1081.45
2026-07-01,PL-001,253.76,284.21,750.39
2026-06-25,PL-001,209.12,234.21,1285.79
2026-07-01,PL-001,257.97,288.93,930.82
2026-06-28,PL-001,242.38,271.47,700.72
2026-06-30,PL-001,177.83,199.17,676.14
2026-06-25,PL-001,122.33,137.01,1210.67
2026-06-25,PL-001,229.35,256.87,868.41
2026-06-27,PL-001,249.27,279.18,1006.6
2026-06-26,PL-001,253.15,283.53,1266.81
2026-06-25,PL-001,248.76,278.61,635.99
2026-07-01,PL-001,149.37,167.29,1164.25
2026-06-25,PL-001,226.96,254.2,0.0
2026-06-28,PL-001,184.86,207.04,639.88
2026-06-30,PL-001,160.96,180.28,1355.77
2026-06-30,PL-001,240.47,269.33,876.27
2026-06-25,PL-001,182.71,204.64,989.93
2026-07-01,PL-001,139.16,155.86,1192.32
2026-06-27,PL-001,215.77,241.66,897.03
2026-06-27,PL-001,250.04,280.04,1162.19
2026-07-01,PL-001,158.53,177.55,1210.06
2026-06-29,PL-001,272.7,305.42,1069.57
2026-06-30,PL-001,257.7,288.62,874.83
2026-06-26,PL-001,227.85,255.19,1313.22
2026-06-25,PL-001,186.87,209.29,1066.03
2026-06-27,PL-001,278.68,312.12,1187.7
2026-06-29,PL-001,140.52,157.38,1190.71
2026-06-27,PL-001,210.65,235.93,768.65
2026-07-01,PL-001,247.83,277.57,1168.39
2026-06-28,PL-001,260.45,291.7,1141.17
2026-06-26,PL-001,187.1,209.55,1180.62
2026-06-27,PL-001,166.01,185.93,975.3
2026-06-26,PL-001,275.1,308.11,752.63
2026-07-01,PL-001,222.26,248.93,1345.02
2026-07-01,PL-001,229.42,256.95,648.51
2026-06-25,PL-001,266.31,298.27,1228.08
2026-06-27,PL-001,216.21,242.16,778.24
2026-06-26,PL-001,130.67,146.35,1127.25
2026-07-01,PL-001,267.85,299.99,953.89
2026-06-26,PL-001,177.02,198.26,1283.6
2026-06-30,PL-001,272.93,305.68,1309.97
2026-06-29,PL-001,175.38,196.43,930.9
2026-06-25,PL-001,234.67,262.83,1103.66
2026-06-29,PL-001,194.88,218.27,1129.28
2026-06-30,PL-001,145.22,162.65,726.94
2026-06-27,PL-001,252.06,282.31,1111.83
2026-07-01,PL-001,186.36,208.72,1344.24
2026-06-29,PL-001,244.88,274.27,910.54
2026-06-29,PL-001,208.61,233.64,709.35
2026-06-30,PL-001,264.35,296.07,773.17
2026-06-30,PL-001,150.96,169.08,843.69
2026-06-27,PL-001,149.59,167.54,788.24
2026-06-28,PL-001,251.84,282.06,1018.39
2026-06-30,PL-001,274.56,307.51,1216.44
2026-06-26,PL-001,206.81,231.63,951.45
2026-06-29,PL-001,259.79,290.96,766.67
2026-06-26,PL-001,273.0,305.76,849.6
2026-06-25,PL-001,269.48,301.82,1071.94
2026-07-01,PL-001,271.19,303.73,1397.71
2026-06-29,PL-001,262.57,294.08,893.62
2026-06-29,PL-001,173.73,194.58,909.55
2026-06-30,PL-001,161.1,180.43,751.61
2026-06-27,PL-001,260.29,291.52,1200.86
2026-06-25,PL-001,162.34,181.82,971.66
2026-06-25,PL-001,172.6,193.31,682.33
2026-06-25,PL-001,122.94,137.69,688.5
2026-06-28,PL-001,166.94,186.97,799.45
2026-06-28,PL-001,200.74,224.83,1007.9
2026-06-29,PL-001,279.94,313.53,1119.4
2026-07-01,PL-001,273.08,305.85,0.0
2026-06-28,PL-001,140.42,157.27,673.81
2026-06-26,PL-001,151.65,169.85,1162.45
2026-06-25,PL-001,273.82,306.68,896.92
2026-06-26,PL-001,252.29,282.56,1286.61
2026-06-27,PL-001,229.98,257.58,770.85
2026-06-29,PL-001,132.42,148.31,1317.98
2026-06-27,PL-001,253.22,283.61,1101.11
2026-06-25,PL-001,156.77,175.58,1044.64
2026-06-27,PL-001,224.48,251.42,1194.16
2026-06-26,PL-001,217.75,243.88,1133.01
2026-07-01,PL-001,209.77,234.94,818.99
2026-06-26,PL-001,241.24,270.19,1105.89
2026-06-28,PL-001,198.39,222.2,1289.75
2026-06-29,PL-001,256.98,287.82,955.23
2026-06-26,PL-001,141.46,158.44,1185.55
2026-06-29,PL-001,271.82,304.44,1293.6
2026-06-30,PL-001,163.38,182.99,1152.19
2026-06-25,PL-001,258.96,290.04,902.11
2026-06-29,PL-001,159.17,178.27,1387.96
2026-06-29,PL-001,270.55,303.02,1073.62
2026-06-25,PL-001,136.91,153.34,1186.11
2026-07-01,PL-001,180.3,201.94,823.4
2026-06-28,PL-001,138.94,155.61,1100.13
2026-06-30,PL-001,200.45,224.5,893.34
2026-06-28,PL-001,274.16,307.06,916.43
2026-06-29,PL-001,187.66,210.18,1260.02
2026-06-29,PL-001,140.25,157.08,1272.05
2026-06-25,PL-001,149.75,167.72,681.73
2026-06-25,PL-001,244.47,273.81,642.36
2026-06-28,PL-001,162.23,181.7,673.92
2026-06-26,PL-001,136.98,153.42,615.68
2026-06-30,PL-001,120.17,134.59,1011.99
2026-06-27,PL-001,201.92,226.15,1048.08
2026-06-29,PL-001,193.88,217.15,659.14
2026-06-27,PL-001,242.28,271.35,622.58
2026-06-26,PL-001,260.77,292.06,695.59
2026-06-29,PL-001,274.96,307.96,1338.54
2026-06-30,PL-001,241.4,270.37,653.01
2026-06-26,PL-001,249.18,279.08,760.41
2026-06-30,PL-001,0.0,0.0,1056.31
2026-06-27,PL-001,269.33,301.65,1076.29
2026-07-01,PL-001,213.54,239.16,706.74
2026-06-28,PL-001,211.93,237.36,1171.21
2026-06-27,PL-001,250.93,281.04,1021.43
2026-06-29,PL-001,186.52,208.9,744.15
2026-06-29,PL-001,263.66,295.3,1362.72
2026-06-29,PL-001,232.03,259.87,825.86
2026-06-25,PL-001,271.19,303.73,1220.38
2026-06-27,PL-001,211.78,237.19,735.25
2026-07-01,PL-001,249.05,278.94,1059.82
2026-06-26,PL-001,123.12,137.89,1371.02
2026-06-30,PL-001,140.9,157.81,1293.88
2026-06-27,PL-001,178.63,200.07,1327.02
2026-06-26,PL-001,175.98,197.1,957.08
2026-07-01,PL-001,237.88,266.43,820.9
2026-06-27,PL-001,192.9,216.05,856.91
2026-06-27,PL-001,162.6,182.11,1162.0
2026-06-28,PL-001,253.92,284.39,868.5
2026-06-27,PL-001,184.37,206.49,849.07
2026-06-27,PL-001,128.68,144.12,1020.66
2026-06-28,PL-001,139.73,156.5,990.26
2026-06-30,PL-001,165.18,185.0,720.46
2026-06-25,PL-001,261.4,292.77,984.65
2026-06-27,PL-001,183.04,205.0,0.0
2026-06-30,PL-001,168.29,188.48,645.37
2026-06-26,PL-001,183.81,205.87,1029.37
2026-06-28,PL-001,235.04,263.24,1234.59
2026-06-28,PL-001,196.29,219.84,1328.82
2026-07-01,PL-001,209.36,234.48,1117.43
2026-06-25,PL-001,150.14,168.16,878.74
2026-06-26,PL-001,232.68,260.6,784.52
2026-06-25,PL-001,272.43,305.12,1015.4
2026-06-28,PL-001,184.68,206.84,1055.55
2026-06-25,PL-001,176.92,198.15,810.02
2026-07-01,PL-001,125.7,140.78,928.05
2026-06-26,PL-001,217.23,243.3,708.24
2026-07-01,PL-001,202.98,227.34,1178.62
2026-06-28,PL-001,201.93,226.16,1242.55
2026-06-25,PL-001,150.38,168.43,1390.91
2026-06-30,PL-001,272.49,305.19,610.67
2026-06-30,PL-001,233.09,261.06,702.83
2026-06-30,PL-001,145.59,163.06,1172.7
2026-06-25,PL-001,143.76,161.01,1184.59
2026-06-26,PL-001,141.52,158.5,1390.73
2026-06-25,PL-001,245.37,274.81,1199.46
2026-06-26,PL-001,208.83,233.89,812.24
2026-06-28,PL-001,215.0,240.8,1022.52
2026-06-27,PL-001,278.27,311.66,909.23
2026-07-01,PL-001,130.96,146.68,790.17
2026-06-27,PL-001,275.05,308.06,1383.98
2026-06-27,PL-001,123.28,138.07,995.43
2026-06-25,PL-001,209.07,234.16,1113.46
2026-06-29,PL-001,171.31,191.87,1063.55
2026-06-27,PL-001,232.31,260.19,1128.02
2026-06-25,PL-001,212.76,238.29,716.22
2026-06-25,PL-001,255.25,285.88,0.0
2026-06-30,PL-001,200.26,224.29,657.16
2026-06-30,PL-001,190.0,212.8,633.23
2026-06-27,PL-001,269.57,301.92,1057.38
2026-06-30,PL-001,183.51,205.53,714.78
2026-07-01,PL-001,202.88,227.23,770.7
2026-06-28,PL-001,123.28,138.07,909.7
2026-06-25,PL-001,167.33,187.41,894.53
2026-06-26,PL-001,170.91,191.42,622.99
2026-06-28,PL-001,160.67,179.95,927.66
2026-06-28,PL-001,256.76,287.57,692.85
2026-06-27,PL-001,123.7,138.54,701.43
2026-06-26,PL-001,238.84,267.5,1365.24
2026-06-27,PL-001,159.08,178.17,960.17
2026-07-01,PL-001,213.86,239.52,1277.79
2026-06-29,PL-001,120.35,134.79,923.45
2026-06-25,PL-001,237.48,265.98,1055.67
2026-06-27,PL-001,158.41,177.42,681.69
2026-06-26,PL-001,229.37,256.89,703.66
2026-06-25,PL-001,206.56,231.35,1129.61
2026-07-01,PL-001,267.28,299.35,649.86
2026-06-26,PL-001,209.98,235.18,608.34
2026-06-27,PL-001,260.02,291.22,1015.36
2026-06-30,PL-001,141.12,158.05,1255.13
2026-06-28,PL-001,145.23,162.66,787.51
2026-06-28,PL-001,252.03,282.27,1382.45
2026-06-30,PL-001,221.84,248.46,1127.38
2026-07-01,PL-001,254.25,284.76,1055.19
2026-06-30,PL-001,190.99,213.91,1130.87
2026-06-26,PL-001,120.95,135.46,1213.72
2026-06-28,PL-001,128.36,143.76,1151.26
2026-06-28,PL-001,194.52,217.86,1395.81
